steps
"mix together the meat , egg , bread crumbs , cheese , basil , parsley , and green onions ; shape into 3/4 inch balls . pour broth into a large saucepan over high heat . when boiling , drop in meatballs . stir in escarole , lemon zest and orzo . return to a boil ; reduce heat to medium . cook at a slow boil for 10 minutes or until orzo is tender , stirring frequently . serve sprinkled with cheese ."
"in a large stock pot , over medium low heat , heat olive oil and saute garlic for 2 to 3 minutes . add onion and saute for 4 to 5 minutes . add celery and carrots , saute for 1 to 2 minutes . add chicken broth , water and tomato sauce , bring to boil , stirring frequently . if desired add red wine at this point . reduce heat to low and add kidney beans , green beans , spinach leaves , zucchini , oregano , basil , salt and pepper . simmer for 30 to 40 minutes , the longer the better . fill a medium saucepan with water and bring to a boil . add macaroni and cook until tender . drain water and set aside . once pasta is cooked and soup is heated through place 2 tablespoons cooked pasta into individual serving bowls . ladle soup on top of pasta and sprinkle parmesan cheese on top . spray with olive oil and serve ."
"in a large pot over medium high heat , combine the oil , onion and garlic and saute for 5 minutes . add the red bell pepper and saute for 3 more minutes . add the broth , tomatoes and beans . bring to a boil , reduce heat to low and simmer for 20 minutes . add the thyme , spinach and pasta . simmer for 5 more minutes and pepper to taste ."
"in a large pot over medium heat , saute the garlic and onions in the olive oil for 5 minutes , stirring constantly . add the tomatoes with liquid , water , parsley and cilantro . bring to a boil , reduce heat to low and simmer for 15 minutes . stir in the worcestershire sauce , cinnamon , paprika and fish . simmer over medium heat for 10 minutes . add the pasta and simmer for an additional 8 minutes , or until pasta is tender . season with salt to taste and ground black pepper ."
"melt butter in a large saucepan over medium heat ; cook and stir leek , rosemary , and garlic until leek is tender and translucent , about 15 minutes . add diced tomatoes and cayenne pepper ; bring to a simmer . add minced basil ; continue simmering until soup is reduced by half , about 1 hour . remove half of the soup and puree in a blender until smooth . return pureed soup to the saucepan . stir in cream to desired consistency . season to taste with salt and ground black pepper ."
"combine water , gnocchi , chicken , tomato , onion , corn , green onion , chicken bouillon , broccoli , thyme , pepper , salt , and basil a stockpot ; bring a boil . reduce heat and simmer until gnocchi are cooked through and flavors have blended , about 15 minutes ."
"bring a saucepan of water to a boil . cook chicken in boiling water until no longer pink in the center , 7 to 10 minutes ; drain . bring chicken broth to a boil in a soup pot ; add cheese tortellini , reduce heat to medium low , and cook until tortellini are cooked through and firm to the bite , about 8 minutes . stir chicken , cream of chicken soup , half and half , spinach , thyme , and black pepper with the tortellini ; bring to a simmer and continue cooking until hot , 7 to 10 minutes . serve hot ."
"heat butter in a large pot over medium heat ; cook and stir onion and garlic until onion is transparent , 5 to 10 minutes . add chicken stock , beef broth , and water ; bring to a simmer . stir tomato paste , tomatoes with jalapenos , and potatoes into broth mixture ; simmer until potatoes are slightly tender , 10 to 15 minutes . stir celery , zucchini , carrots , and garbanzo beans into soup mixture ; simmer until potatoes are tender and flavors have blended , 45 minutes ."
"combine vegetable broth , tomatoes , kidney beans , onion , celery , carrots , green beans , zucchini , garlic , parsley , oregano , salt , thyme , and black pepper in a 6 quart slow cooker . cook on low for 6 to 8 hours . bring a large pot of lightly salted water to a boil . cook elbow macaroni in the boiling water , stirring occasionally until cooked through but firm to the bite , 8 minutes ; drain . stir spinach and macaroni into minestrone ; cook another 15 minutes . top with parmesan cheese ."
"in 6 quart stockpot , heat oil over medium high heat . add garlic ; cook and stir until garlic begins to brown . stir in onions , celery and carrots ; cook 8 to 10 minutes , stirring occasionally , until vegetables are tender . stir in rosemary , beans , tomatoes , zucchini , pasta and broth ; heat to boiling . reduce heat . cover ; simmer about 20 minutes or until pasta is tender . season with salt and pepper . serve with cheese ."
