steps
"rub the crabs with 1 teaspoon of the turmeric and 1/2 teaspoon salt ; let them marinate for 1 hour . combine the mustard seed and hot water in a small bowl and let stand for 10 minutes . use a mortar and pestle to grind the seeds into a coarse paste . heat the oil in a wok or kadhai over medium heat . add the crabs and stir fry until they change color , about 4 minutes . remove the crabs from the oil and set aside . add the sliced onions to the wok and cook and stir over medium heat until the onions are translucent , about 5 minutes . raise the heat to high , add the potatoes , and cook , stirring constantly , for about 2 minutes . add the cloves , cinnamon stick , cardamom pods , and peppercorns , and stir for thirty seconds . stir in the tomatoes , ginger paste , and garlic paste . halve three of the chiles and add them to the wok . cook and stir for an additional minute or two over high heat . reduce the heat to medium ; add the remaining 1 teaspoon turmeric , the cayenne pepper , and the mustard paste and stir to combine . add the crabs to the wok and pour in just enough water to cover the vegetables . bring the water to a boil and stir in the sugar and salt to taste . cover the wok , reduce the heat , and simmer until the potatoes are tender and the water is reduced by half , about 10 minutes . remove the lid , stir , and simmer until the gravy is thickened , about 5 minutes more . squeeze the lemon wedge over the finished dish . garnish with chopped cilantro and sliced green chile and serve hot , with rice ."
"bring the tomatoes , cumin , turmeric , salt , and water to a boil in a four quart saucepan ; reduce heat to medium and maintain a simmer . heat the oil in a skillet over medium high heat ; cook the fish in the oiled skillet until golden brown , 2 to 3 minutes per side . transfer the fish to the saucepan . heat a separate skillet over medium heat , and toast the mustard seeds , cumin seeds , black cumin seeds , fennel seeds , and fenugreek seeds until fragrant , just a few seconds . stir the spices into the saucepan . simmer until the flavors integrate , about 10 minutes more . serve hot ."
"heat 1 tablespoon oil in a skillet over medium heat . stir in onions ; cook and stir until onion pieces are soft and translucent , about 5 minutes . reduce heat to medium low ; continue cooking , stirring occasionally , until onions are golden , about 10 minutes more . remove pan from heat and set it aside . transfer cooked onions to the bowl of a food processor ; grind onions , tomatoes , and green chiles into a smooth paste . heat remaining 2 tablespoons oil in the same skillet over medium heat . add onion mixture carefully , as it may spatter . cook and stir for 2 to 3 minutes . stir in garlic paste , ginger paste , coriander , cumin , garam masala , turmeric , cayenne pepper , and salt . cook and stir until the oil begins to separate from the mixture , about 5 minutes . pour water into skillet and bring sauce to a boil . add cubed potatoes . gently stir in the eggs . reduce heat to low and simmer until sauce has thickened slightly , about 10 minutes . remove from heat . garnish with cilantro before serving ."
"season the lamb with garam masala and salt . heat 1 tablespoon of butter in a large skillet over medium heat . fry the lamb cubes until browned , stirring constantly . remove from the skillet and set aside . melt the remaining butter in the same skillet over medium heat . add the onion ; cook and stir until the onion has softened and turned translucent , about 5 minutes . stir in the turmeric , ginger , and garlic . cook and stir for 1 minute . stir in the cayenne and tomato paste until well blended , then stir in the water . bring to a simmer and return lamb to the skillet . simmer over low heat for about 20 minutes , or until lamb is tender . stir in the cream and honey . transfer to a serving dish and garnish with cilantro ."
"bring a medium saucepan of lightly salted water to a boil . stir in potatoes and peas . cook until potatoes are tender but still firm , about 15 minutes . drain , mash together and set aside . in a large saucepan over medium high heat , heat the oil . brown cumin seeds and bay leaf . mix in onions and ground beef . cook until beef is evenly brown and onions are soft , about 5 minutes . mix in garlic , fresh ginger root . season with black pepper , salt , cumin , coriander , turmeric , chili powder , cinnamon and cardamom . stir in the mashed potato mixture . remove from heat and chill in the refrigerator for 1 hour , or until cool . heat oil in a large , heavy saucepan over high heat . mix cilantro and green chile peppers into the potato and beef mixture . place approximately 1 tablespoon of the mixture onto each phyllo sheet . fold sheets into triangles , pressing edges together with moistened fingers . in small batches , fry until golden brown , about 3 minutes . drain on paper towels and serve warm ."
"heat oil over medium high heat in a large skillet , and cook and stir onions until golden brown , about 8 minutes . stir in tomato and cook for 2 minutes . stir in garlic paste , turmeric , garam masala , green chile peppers , and salt , and cook for 2 minutes more . reduce heat to low , add the shrimp , and cook and stir over low heat until the shrimp are bright pink on the outside and the meat is no longer transparent in the center , about 8 minutes . add a small amount of water if needed ; the sauce should be thick . sprinkle with cilantro ."
"combine water , sugar , cardamom , rose water , and saffron in a saucepan ; bring to a boil . reduce heat and simmer until consistency is syrupy , 5 to 10 minutes . mix milk powder , flour , and baking soda in a bowl until well combined . slowly mix in butter and yogurt until dough comes together . let gulab dough rest for 5 minutes . shape into smooth balls the size of pennies . heat oil in a deep fryer or large saucepan to 350 degrees f . test the temperature of the oil by dropping in a small piece of dough . when it sits at the bottom of the pan for 1 minute before coming to the surface , the oil is ready . fry 4 gulab balls at a time , stirring carefully , until dark golden brown on all sides , about 2 minutes . drain on a paper towel lined plate . repeat with remaining gulab . bring syrup back up to a boil and drop in fried gulab . remove from heat and let them soak in the syrup , covered , 45 minutes to 1 hour ."
"prepare the fresh garam masala , in a coffee grinder , grind the cardamom seeds , 3 whole cloves , and 3 cinnamon sticks to a fine powder . set aside . heat the vegetable oil in a skillet over medium heat . add the 4 whole cloves , 4 cardamom pods , and 2 sticks of cinnamon and fry for a few seconds . stir in the grated onion and reduce the heat to medium low . cook and stir until the liquid dries and the onion no longer smells raw , about 5 minutes . add the ginger paste and garlic paste and cook for 2 minutes , stirring constantly . stir in the turmeric and cayenne pepper . add the chopped tomatoes and cook until the tomatoes are soft , about 5 minutes . pour in the water , cover the pan , and cook for an additional 5 minutes . pour in the coconut milk and stir well . when the mixture is just below boiling , stir in the prawns . sprinkle the mixture with almost all of the fresh garam masala powder , reserving a pinch to use as a garnish . gently stir to combine . do not cover the pan at this stage , as the coconut milk will curdle . as soon as the prawns are pink and cooked through , 3 to 5 minutes , add the ghee . remove the pan from the heat . sprinkle the reserved garam masala over the dish and serve ."
"in a pot , bring the basmati rice and 3 cups water to a boil . reduce heat to low , cover , and simmer 20 minutes . heat the oil in a large saucepan over medium heat . brown the corned beef in the saucepan , and cook the onion and garlic until tender . season with ginger , turmeric , coriander , salt , chili powder , cinnamon , and cardamom . place the bay leaves in the saucepan , and pour in 1 cup water . bring to a boil . mix in the potatoes , reduce heat to low , and simmer 30 minutes . stir occasionally , and add more water as needed to keep the ingredients moist . cover the saucepan , and continue cooking 10 minutes , until potatoes are tender . serve the beef and potato mixture over the basmati rice ."
"mix the mustard , pepper , 1/2 teaspoon salt , and 2 tablespoons of canola oil in a shallow bowl . add the fish fillets , turning to coat . marinate the fish in the refrigerator for 30 minutes . combine the onion , garlic , ginger , and cashews in a blender or food processor and pulse until the mixture forms a paste . preheat an oven to 350 degrees f . heat 1 tablespoon of canola oil in a skillet over medium low heat . stir in the prepared paste ; cook and stir for a minute or two . add the cayenne pepper , turmeric , cumin , coriander , 1 teaspoon salt , and sugar . cook and stir for an additional five minutes . stir in the chopped tomato and vegetable broth . arrange the fish fillets in a baking dish , discarding any extra marinade . top the fish with the sauce , cover the baking dish , and bake in the preheated oven until the fish flakes easily with a fork , about 30 minutes . garnish with chopped cilantro ."
"to make the dough , place the flour into a mixing bowl . gradually stir in 1/4 cup vegetable oil and the water to make a soft , pliable dough . turn the dough out onto a floured work surface and knead until smooth , about 4 minutes . transfer the dough to an oiled bowl , cover , and set aside for 1 hour . heat 1/2 cup of vegetable oil in a frying pan over medium low heat . sprinkle in the mustard seeds ; when the seeds start to pop , stir in the green chile , ginger , onions , and curry leaves . cook , stirring occasionally , until the onions are soft , about 5 minutes . add the turmeric and a pinch of salt and cook for 1 minute more . mix in the prawns and cook , stirring occasionally , until they are bright pink on the outside and the meat is no longer transparent in the center , 2 to 3 minutes . remove from the heat and set aside . divide the dough into 8 equal portions . place one piece in the palm of your hands and roll it into a smooth ball . lightly dust with flour , then place it on work surface and roll out the dough into a paper thin round about 8 1/2 inches in diameter . repeat with the remaining dough . heat a cast iron skillet or heavy frying pan over medium heat . brush the skillet with oil or use cooking spray . stir the beaten eggs into the prawn filling mixture . place a circle of dough into the preheated skillet . spread 3 tablespoons of filling over the dough . cook until the bottom of the bread has browned , about 5 minutes . lower the heat and carefully turn the paratha over with a spatula . cook for an additional 5 minutes so the prawn mixture is well stuck to the paratha . flip the paratha over again and transfer it to a cutting board . roll the paratha into a cylinder shape to enclose the filling . repeat with the remaining dough and filling . cut each stuffed paratha in half to serve ."
"combine the chiles , garlic , ginger , 1 teaspoon salt , 1/8 teaspoon turmeric , and 2 teaspoons vegetable oil in a food processor or mortar and pestle and process into a fine paste . set aside . place the potatoes in a saucepan with the water and bring to a boil over high heat . reduce the heat to low , cover the pan , and cook the potatoes until they're soft and easily pierced with a fork , about 15 minutes . reserve the cooking water . mash the potatoes while they're still warm , using some of the cooking water to get a smooth consistency . mix in 1 tablespoon green chile paste , chickpea flour , 2 1/2 teaspoons salt , 1 teaspoon turmeric , and mustard oil . add enough reserved potato cooking water as needed to make a soft dough . taste the dough for heat level and seasoning . add more salt and chile paste if desired . heat the cooking oil in a deep pan over medium high heat . use a potato ricer to press noodles into the oil . fry until golden brown and crisp , about two minutes . use a skimmer or slotted spoon to transfer the noodles to a paper towel lined bowl . repeat until all noodles are fried . store in an airtight container for up to two weeks ."
"heat olive oil in a skillet over medium heat . add onion ; cook and stir until the onion has softened and turned translucent , about 5 minutes . reduce heat to medium low and continue cooking and stirring until the onion is very tender and dark brown , 15 to 20 minutes more . stir in the garlic , green chiles , ginger paste , cardamom seeds , cloves , and cinnamon sticks . cook and stir until the garlic begins to brown , 3 to 5 more minutes . mix cumin , coriander , turmeric , garlic powder , cayenne pepper , and water into the onion mixture . simmer until most of the water has evaporated and the mixture has thickened . stir in beef chuck pieces until coated with spice mixture ; simmer over medium low heat , stirring occasionally , until the beef is cooked through and tender , about 1 to 1 1/2 hours ."
"place the mustard seed and chile peppers in a bowl , and mash together to create a fine paste . heat the oil in a skillet over medium heat , and cook the onions until golden . mix in mustard and chile paste , chili powder , turmeric , and salt . stir in water . place salmon in the skillet . reduce heat to low , and cook until most of the liquid has evaporated and fish is easily flaked with a fork ."
"wash the lentils in a strainer . combine the lentils and water in a saucepan over medium high heat . add half of the sliced onions and garlic , reserving the rest for later . stir in the turmeric , bay leaf , tomatoes , and salt . add the chiles , leaving them whole to add flavor or cut in half to add heat . when the mixture begins to boil , reduce the heat to a simmer . cook until the lentils break apart and thicken slightly , about 20 minutes . meanwhile , in a skillet , heat the vegetable oil over medium heat until the oil shimmers . add the reserved sliced onions ; cook and stir until the onion has softened and turned translucent , about 5 minutes . reduce heat to medium low , and continue cooking and stirring until the onion is very tender and dark brown , 15 to 20 minutes more . stir in the rest of the chopped garlic and cook , stirring constantly , until the garlic is fragrant and tender , about 2 minutes . pour the contents of the skillet into the cooked lentils and stir . garnish with chopped cilantro ."
"heat the olive oil in a large skillet over medium high heat . cook and stir the onions in the hot oil until translucent , about 5 minutes . add the ginger garlic paste and continue cooking another 5 minutes . reduce heat to medium ; stir the tomatoes into the mixture and cook until the tomatoes are pulpy , 5 to 10 minutes . season with the cayenne pepper , curry powder , garam masala , turmeric , and cumin ; cook and stir another 5 minutes . add the chicken and potatoes to the mixture in the skillet ; simmer , stirring occasionally , until the potatoes are tender and the chicken is no longer pink in the center , about 20 minutes . sprinkle the cilantro over the mixture and continue simmering another 10 minutes . serve hot ."
"rinse and drain rice 3 times . place rice in a bowl and pour in enough water to cover ; set aside to soak . heat oil in a large saucepan over medium heat ; cook and stir onion , ginger , cumin seeds , fenugreek , and turmeric until onion just begins to brown , 5 to 10 minutes . add garlic and continue to cook and stir until onions are browned , 5 to 10 minutes more . drain rice and mix into onion mixture ; cook and stir until rice is dry and lightly toasted , about 3 minutes . stir peas , carrot , green beans , and cauliflower into rice mixture ; pour in broth . cover saucepan and bring liquid to a rapid boil ; reduce heat to low and simmer until rice is tender , 12 to 15 minutes . remove saucepan from heat and fluff rice with a fork . stir cilantro into rice , return lid , and let rest for 3 to 5 minutes ."
"wash rice well and soak in 2 1/2 cups salted water for 30 min . heat oil in a heavy or nonstick pan . add onions and fry till dark brown . drain onions and set aside , but reserve the oil . in the same oil , stir fry cumin , peppercorns , and bay leaf for a few seconds . drain rice reserving the water and add the rice to the frying pan . add sugar , stir gently , fry till rice is light brown . add clove cinnamon powder , stir . add salt water and bring to a boil . simmer covered until rice is the cooked and the water evaporates . rice should not be sticky when finished . spoon the onions on top to serve ."
"in a saucepan bring water to a boil . add rice and boil for 5 minutes . stir in the sugar , reduce the heat , and add the clarified butter . meanwhile , soak the saffron in 1 tablespoon hot water for 10 minutes . to the rice add the saffron , cloves , raisins and cashews . stir well , cover , and cook over low heat for 5 to 10 minutes more , or until all liquid is absorbed and rice is cooked . sprinkle with cardamom before serving ."
