Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
92769,Central American,Costa Rican,Latin American,54.7709,246.0161,11.4522,2.0333,Central American
92770,Central American,Costa Rican,Latin American,423.3475,4042.6096,467.6014,48.0948,Central American
92771,Central American,Costa Rican,Latin American,490.5072,2925.6460,72.2042,81.8457,Central American
92772,Central American,Costa Rican,Latin American,433.4615,5201.5692,421.3535,185.6994,Central American
92773,Central American,Costa Rican,Latin American,31.2662,599.7400,6.4312,53.9316,Central American
92774,Central American,Costa Rican,Latin American,9.7617,2314.2461,93.6720,212.7656,Central American
92775,Central American,Costa Rican,Latin American,101.8976,2761.2480,56.4013,256.4253,Central American
92776,Central American,Costa Rican,Latin American,184.7948,1815.7316,113.2942,70.4143,Central American
92777,Central American,Honduran,Latin American,39.6280,187.2924,3.6170,1.5610,Central American
92778,Central American,Honduran,Latin American,3.2880,408.0000,3.4080,43.2960,Central American
92779,Central American,Honduran,Latin American,0.6384,960.2545,152.7698,34.8821,Central American
92780,Central American,Honduran,Latin American,269.0821,5303.7513,135.0931,416.9918,Central American
92781,Central American,Honduran,Latin American,39.3010,2099.1514,160.1481,141.3774,Central American
92782,Central American,Honduran,Latin American,430.2778,4032.8393,207.2679,173.3314,Central American
92783,Central American,Honduran,Latin American,315.2474,1811.3417,2.7758,53.7374,Central American
92784,Central American,Honduran,Latin American,179.7493,1954.1413,11.3527,138.1346,Central American
92785,Central American,Honduran,Latin American,7.7625,101.1697,1.4397,8.4710,Central American
92786,Central American,Honduran,Latin American,161.5633,1264.4133,20.7940,80.2579,Central American
92787,Central American,Honduran,Latin American,2.9283,835.0075,99.8383,47.0950,Central American
92788,Central American,Honduran,Latin American,73.1919,1564.0170,101.6279,109.6360,Central American
92789,Central American,Honduran,Latin American,555.2451,4889.0144,198.7659,225.9466,Central American
92790,Central American,Honduran,Latin American,1.3413,3154.5484,302.9938,207.6672,Central American
92791,Central American,Honduran,Latin American,,,,,Central American
92792,Central American,Honduran,Latin American,82.0709,319.8300,3.9863,1.2625,Central American
92793,Central American,Honduran,Latin American,17.2529,3423.4564,240.9906,257.6095,Central American
92794,Central American,Honduran,Latin American,19.3365,392.0200,71.7653,2.6816,Central American
92795,Central American,Honduran,Latin American,79.3447,536.0817,9.1400,22.6235,Central American
92796,Central American,Honduran,Latin American,5.4895,605.5598,36.4107,48.9251,Central American
92797,Central American,Honduran,Latin American,92.9701,459.4064,7.8168,11.4054,Central American
92798,Central American,Honduran,Latin American,6.9540,71.3600,10.0140,0.5000,Central American
92799,Central American,Honduran,Latin American,296.4430,3123.7523,60.1194,201.4766,Central American
92800,Central American,Honduran,Latin American,67.0913,594.3052,31.2178,22.6930,Central American
92801,Central American,Honduran,Latin American,291.2811,4542.9730,72.4605,359.1575,Central American
92802,Central American,Honduran,Latin American,364.1525,2347.1182,201.2549,27.1074,Central American
92803,Central American,Honduran,Latin American,4.4570,404172.4899,39641.5821,25984.8817,Central American
92804,Central American,Honduran,Latin American,22.2769,344.8150,16.2528,22.5003,Central American
92805,Central American,Honduran,Latin American,295.6594,1546.6589,36.7072,38.5898,Central American
92806,Central American,Honduran,Latin American,76.5172,871.8547,115.1231,14.8286,Central American
92807,Central American,Honduran,Latin American,114.1564,1652.9987,136.0431,71.1294,Central American
92808,Central American,Honduran,Latin American,36.7523,613.7083,95.5040,6.6431,Central American
92809,Central American,Honduran,Latin American,105.7613,716.5960,18.1135,29.5587,Central American
92810,Central American,Honduran,Latin American,14.0375,991.7678,60.3294,78.1562,Central American
92811,Central American,Honduran,Latin American,23.5332,1003.4400,70.1516,70.6656,Central American
92812,Central American,Honduran,Latin American,170.5550,1096.1082,38.9802,31.6234,Central American
92813,Central American,Honduran,Latin American,3134.4524,12792.6758,510.8650,56.7049,Central American
92814,Central American,Honduran,Latin American,7.7845,553.7375,4.6830,58.1766,Central American
92815,Central American,Honduran,Latin American,26.2749,982.2153,133.0235,37.5015,Central American
92816,Central American,Honduran,Latin American,2.5767,21.4390,0.3934,0.0475,Central American
92817,Central American,Honduran,Latin American,47.5774,1874.3494,136.9109,130.4587,Central American
92818,Central American,Honduran,Latin American,34.0606,1429.9187,5.3524,141.3476,Central American
92819,Central American,Honduran,Latin American,97.3898,941.4150,9.5892,63.7920,Central American
92820,Central American,Honduran,Latin American,206.9375,1520.6838,138.8792,15.3044,Central American
92821,Central American,Honduran,Latin American,33.1964,161.8705,5.1538,5.2152,Central American
92822,Central American,Honduran,Latin American,135.6637,537.2500,6.7438,2.1927,Central American
92823,Central American,Honduran,Latin American,66.8673,2352.3202,227.9843,132.1161,Central American
92824,Central American,Honduran,Latin American,9.9032,669.3760,5.5979,68.8302,Central American
92825,Central American,Honduran,Latin American,66.2638,2967.6235,230.8827,194.4826,Central American
92826,Central American,Honduran,Latin American,260.2211,1621.8130,44.2835,44.4489,Central American
92827,Central American,Honduran,Latin American,112.9453,1023.5633,74.4669,34.3049,Central American
92828,Central American,Honduran,Latin American,4.6663,18.7107,0.0000,0.0000,Central American
92829,Central American,Honduran,Latin American,161.0872,1185.7800,43.3404,41.5244,Central American
92830,Central American,Honduran,Latin American,39.8935,516.0828,54.5460,16.4793,Central American
