Recipe_id,Cuisine
2911,Chinese and Mongolian
2912,Chinese and Mongolian
2913,Chinese and Mongolian
2914,Chinese and Mongolian
2915,Chinese and Mongolian
2916,Chinese and Mongolian
2917,Chinese and Mongolian
2918,Chinese and Mongolian
2919,Chinese and Mongolian
2920,Chinese and Mongolian
2921,Chinese and Mongolian
2922,Chinese and Mongolian
2923,Chinese and Mongolian
2924,Chinese and Mongolian
2925,Chinese and Mongolian
2926,Chinese and Mongolian
2927,Chinese and Mongolian
2928,Chinese and Mongolian
2929,Chinese and Mongolian
2930,Chinese and Mongolian
2931,Chinese and Mongolian
2932,Chinese and Mongolian
2933,Chinese and Mongolian
2934,Chinese and Mongolian
2935,Chinese and Mongolian
2936,Chinese and Mongolian
2937,Chinese and Mongolian
2938,Chinese and Mongolian
2939,Chinese and Mongolian
2940,Chinese and Mongolian
2941,Chinese and Mongolian
2942,Chinese and Mongolian
2943,Chinese and Mongolian
2944,Chinese and Mongolian
2945,Chinese and Mongolian
2946,Chinese and Mongolian
2947,Chinese and Mongolian
2948,Chinese and Mongolian
2949,Chinese and Mongolian
2950,Chinese and Mongolian
2951,Chinese and Mongolian
2952,Chinese and Mongolian
2953,Chinese and Mongolian
2954,Chinese and Mongolian
2955,Chinese and Mongolian
2956,Chinese and Mongolian
2957,Chinese and Mongolian
2958,Chinese and Mongolian
2959,Chinese and Mongolian
2960,Chinese and Mongolian
2961,Chinese and Mongolian
2962,Chinese and Mongolian
2963,Chinese and Mongolian
2964,Chinese and Mongolian
2965,Chinese and Mongolian
2966,Chinese and Mongolian
2967,Chinese and Mongolian
2968,Chinese and Mongolian
2969,Chinese and Mongolian
2970,Chinese and Mongolian
2971,Chinese and Mongolian
2972,Chinese and Mongolian
2973,Chinese and Mongolian
2974,Chinese and Mongolian
2975,Chinese and Mongolian
2976,Chinese and Mongolian
2977,Chinese and Mongolian
2978,Chinese and Mongolian
2979,Chinese and Mongolian
2980,Chinese and Mongolian
2981,Chinese and Mongolian
2982,Chinese and Mongolian
2983,Chinese and Mongolian
2984,Chinese and Mongolian
2985,Chinese and Mongolian
2986,Chinese and Mongolian
2987,Chinese and Mongolian
2988,Chinese and Mongolian
2989,Chinese and Mongolian
2990,Chinese and Mongolian
2991,Chinese and Mongolian
2992,Chinese and Mongolian
2993,Chinese and Mongolian
2994,Chinese and Mongolian
2995,Chinese and Mongolian
2996,Chinese and Mongolian
2997,Chinese and Mongolian
2998,Chinese and Mongolian
2999,Chinese and Mongolian
3000,Chinese and Mongolian
3001,Chinese and Mongolian
3002,Chinese and Mongolian
3003,Chinese and Mongolian
3004,Chinese and Mongolian
3005,Chinese and Mongolian
3006,Chinese and Mongolian
3007,Chinese and Mongolian
3008,Chinese and Mongolian
3009,Chinese and Mongolian
3010,Chinese and Mongolian
3011,Chinese and Mongolian
