Region,Recipe_Count
Italian,16574
Mexican,14447
South American,7171
Canadian,6694
Indian Subcontinent,6463
French,6375
Chinese and Mongolian,5888
Australian,5819
US,5025
UK,4396
Deutschland ,4321
Greek,4181
Middle Eastern,3905
Caribbean,3023
Spanish and Portuguese,2843
Scandinavian,2811
Rest Africa,2739
Thai,2603
Irish,2529
Eastern European,2503
Japanese,2040
Southeast Asian,1940
Northern Africa,1610
Belgian,1060
Korean,668
Central American,455
