Ingredient_Phrases
"2 fresh Dungeness crabs , cleaned and with their shells cracked|2 teaspoons ground turmeric|1/2 teaspoon salt|1 tablespoon mustard seed|1 tablespoon hot water|1 tablespoon mustard oil|3 cups sliced red onion|1 3/4 cups boiling potatoes , peeled , halved lengthwise , and cut crosswise into 1/4-inch slices|2 whole cloves|1 piece cinnamon stick|2 pods green cardamom pods|5 whole black peppercorns|2 large tomatoes , coarsely chopped|4 Thai green chiles|1 1/2 teaspoons garlic paste|1 1/2 teaspoons ginger paste|1 teaspoon cayenne pepper|1 teaspoon white sugar|Garnish :|1 wedge fresh lemon|1/2 cup chopped fresh cilantro"
"2 large tomatoes , coarsely chopped|2 teaspoons ground cumin|1 tablespoon ground turmeric|1/2 teaspoon salt|2 cups water|1 tablespoon vegetable oil|2 pounds thick whitefish fillets , cut into large chunks|1/2 teaspoon mustard seeds|1/2 teaspoon cumin seeds|1/2 teaspoon black cumin seeds|1/4 teaspoon fennel seeds , lightly crushed|1/4 teaspoon fenugreek seeds"
"3 tablespoons vegetable oil , divided|2 onions , peeled and quartered|3 tomatoes , quartered|2 small green chile peppers|2 teaspoons garlic paste|2 teaspoons ginger paste|2 teaspoons ground coriander|1 teaspoon ground cumin|1 teaspoon garam masala|1/2 teaspoon ground turmeric|1/2 teaspoon cayenne pepper , or to taste|salt to taste|2 cups water|1 large potato - cooked , peeled , and cut into 1-inch cubes|6 hard-cooked eggs , quartered|2 tablespoons chopped fresh cilantro ( optional )"
"2 pounds boneless lamb shoulder , cut into 1 inch pieces|1/2 teaspoon garam masala|salt to taste|2 tablespoons butter , divided|1 onion , chopped|1/2 teaspoon ground turmeric ( optional )|1/2 teaspoon minced ginger|1/2 teaspoon minced garlic|1/2 teaspoon cayenne pepper , or to taste|1 tablespoon tomato paste|1 cup water|1/2 cup heavy cream|1 tablespoon honey|1 cup chopped fresh cilantro"
"2 large potatoes , peeled|1 cup frozen peas , thawed|2 tablespoons vegetable oil|1/2 teaspoon cumin seeds|1 bay leaf , crushed|2 large onions , finely chopped|1 pound ground beef|4 cloves garlic , crushed|1 tablespoon minced fresh ginger root|1/2 teaspoon ground black pepper|1 1/2 teaspoons salt|1 teaspoon ground cumin|1 teaspoon ground coriander|1 teaspoon ground turmeric|1 teaspoon chili powder|1/2 teaspoon ground cinnamon|1/2 teaspoon ground cardamom|2 tablespoons chopped fresh cilantro|2 tablespoons chopped green chile peppers|1 quart oil for deep frying|1 package phyllo dough"
"2 tablespoons vegetable oil|2 onions , chopped|1 tomato , chopped|1 teaspoon garlic paste|1/2 teaspoon ground turmeric|1/2 teaspoon garam masala|2 green chile peppers , seeded and minced|salt to taste|1 pound peeled and deveined shrimp|1/4 cup cilantro leaves"
2 cups water|2 cups white sugar|1/2 teaspoon ground cardamom|2 drops rose water ( optional )|1 pinch saffron ( optional )|2 tablespoons all-purpose flour|1/4 teaspoon baking soda|2 tablespoons plain yogurt|2 cups vegetable oil for frying
"Garam Masala :|1/4 teaspoon cardamom seeds|3 whole cloves|3 pieces cinnamon stick|2 tablespoons vegetable oil|4 green cardamom pods|1 onion , grated|1 1/4 teaspoons ginger paste|1 1/4 teaspoons garlic paste|1/2 teaspoon ground turmeric|1/4 teaspoon cayenne pepper|1/2 cup finely chopped tomato|1/2 cup water|1 cup coconut milk|1 pound tiger prawns , peeled and deveined|1 teaspoon ghee ( clarified butter ) ( optional )"
"1 1/2 cups basmati rice|1 quart water , divided|1/3 cup vegetable oil|1 1/2 pounds corned beef , cubed|1/2 cup diced onion|2 cloves garlic , chopped|1 tablespoon ground ginger|2 teaspoons ground turmeric|2 teaspoons ground coriander|2 teaspoons salt|1 1/2 teaspoons chili powder|1/2 teaspoon ground cinnamon|1/2 teaspoon ground cardamom|2 bay leaves|4 potatoes , diced"
"For the marinade :|2 teaspoons Dijon mustard|1 teaspoon ground black pepper|1/2 teaspoon salt|2 tablespoons canola oil|4 white fish fillets|1 onion , coarsely chopped|4 cloves garlic , roughly chopped|1 piece fresh ginger root , peeled and chopped|5 cashew halves|2 teaspoons cayenne pepper , or to taste|1/2 teaspoon ground turmeric|1 teaspoon ground cumin|1 teaspoon ground coriander|1 teaspoon white sugar|1/2 cup chopped tomato|1/4 cup vegetable broth|1/4 cup chopped fresh cilantro"
